1.0000e+00, 9.9987e-01, 9.9950e-01, 9.9887e-01, 9.9798e-01, 9.9685e-01,
9.9547e-01, 9.9383e-01, 9.9195e-01, 9.8982e-01, 9.8743e-01, 9.8480e-01,
9.8192e-01, 9.7880e-01, 9.7542e-01, 9.7180e-01, 9.6794e-01, 9.6383e-01,
9.5948e-01, 9.5489e-01, 9.5006e-01, 9.4499e-01, 9.3968e-01, 9.3414e-01,
9.2836e-01, 9.2235e-01, 9.1610e-01, 9.0962e-01, 9.0292e-01, 8.9599e-01,
8.8883e-01, 8.8145e-01, 8.7384e-01, 8.6602e-01, 8.5798e-01, 8.4972e-01,
8.4125e-01, 8.3256e-01, 8.2367e-01, 8.1457e-01, 8.0527e-01, 7.9576e-01,
7.8605e-01, 7.7614e-01, 7.6604e-01, 7.5575e-01, 7.4526e-01, 7.3459e-01,
7.2373e-01, 7.1269e-01, 7.0148e-01, 6.9008e-01, 6.7851e-01, 6.6677e-01,
6.5486e-01, 6.4279e-01, 6.3056e-01, 6.1816e-01, 6.0562e-01, 5.9291e-01,
5.8006e-01, 5.6707e-01, 5.5393e-01, 5.4065e-01, 5.2724e-01, 5.1369e-01,
5.0001e-01, 4.8621e-01, 4.7229e-01, 4.5824e-01, 4.4408e-01, 4.2981e-01,
4.1543e-01, 4.0095e-01, 3.8637e-01, 3.7168e-01, 3.5691e-01, 3.4204e-01,
3.2709e-01, 3.1206e-01, 2.9695e-01, 2.8176e-01, 2.6650e-01, 2.5118e-01,
2.3579e-01, 2.2034e-01, 2.0484e-01, 1.8929e-01, 1.7368e-01, 1.5804e-01,
1.4235e-01, 1.2663e-01, 1.1088e-01, 9.5096e-02, 7.9291e-02, 6.3466e-02,
4.7624e-02, 3.1772e-02, 1.5910e-02, 4.5375e-05
